degree,setup,evaluation,verification
100,1.0217881202697754,4.338526964187622,4.027257680892944
100,0.9870331287384033,4.3736817836761475,4.016557693481445
100,0.9374744892120361,4.292260646820068,4.039777517318726
100,0.9918673038482666,4.255000591278076,4.051981210708618
100,1.0530834197998047,4.293220520019531,4.232756614685059
100,0.9945409297943115,4.207139730453491,4.03180456161499
100,0.9589715003967285,4.206869602203369,3.8944954872131348
100,0.9348397254943848,4.039770603179932,4.049710273742676
100,0.9271490573883057,4.0555455684661865,4.0183045864105225
100,1.0445561408996582,4.138606786727905,3.9509294033050537
110,1.0401959419250488,4.708089113235474,4.058966875076294
110,1.0462172031402588,4.617687940597534,3.973843574523926
110,1.0907268524169922,4.583236932754517,3.884943723678589
110,0.9608263969421387,4.500698566436768,3.9172568321228027
110,1.14420485496521,4.479252815246582,3.9086530208587646
110,1.059041976928711,4.779580354690552,3.9565775394439697
110,1.210434913635254,4.706969499588013,4.027338981628418
110,1.0421228408813477,4.655945539474487,3.938911199569702
110,1.0488901138305664,4.635876655578613,4.000083923339844
110,0.986814022064209,4.6911938190460205,3.9292407035827637
120,1.2080464363098145,4.828574180603027,3.8139047622680664
120,1.125596284866333,4.8716020584106445,3.862051248550415
120,1.1467676162719727,5.241745948791504,3.9351747035980225
120,1.1098732948303223,5.148853778839111,3.939141273498535
120,1.3858239650726318,4.963761568069458,3.880091905593872
120,1.1244821548461914,4.876585006713867,3.9041998386383057
120,1.0695111751556396,4.805981159210205,3.7930185794830322
120,0.9898126125335693,4.788638353347778,3.861945867538452
120,1.1249566078186035,4.894774675369263,3.8093340396881104
120,1.178222417831421,4.964466333389282,3.8200278282165527
130,1.1615281105041504,5.288863897323608,3.8837480545043945
130,1.2205913066864014,5.255663871765137,3.86578106880188
130,1.0988492965698242,5.307955980300903,3.7504491806030273
130,1.1167652606964111,5.200012922286987,3.8924832344055176
130,1.091338872909546,5.343607425689697,3.9279046058654785
130,1.204777717590332,5.386324167251587,3.840479612350464
130,1.2363407611846924,5.335064888000488,3.835322618484497
130,1.2250494956970215,5.337256193161011,3.825532913208008
130,1.0885260105133057,5.227055549621582,3.7763781547546387
130,1.1537399291992188,5.218079566955566,3.817387580871582
140,1.179882526397705,5.525784254074097,3.7861263751983643
140,1.1459519863128662,5.7633442878723145,3.8233141899108887
140,1.2023847103118896,5.582656383514404,3.862468957901001
140,1.218437910079956,5.626450777053833,3.7846860885620117
140,1.2149598598480225,5.630040407180786,3.7723801136016846
140,1.4515550136566162,5.597360372543335,4.018864870071411
140,1.3750150203704834,5.610671281814575,3.8592889308929443
140,1.448070764541626,5.601788759231567,3.8667783737182617
140,1.3470025062561035,5.616493463516235,3.883619546890259
140,1.3111634254455566,5.6348488330841064,3.812966823577881
150,1.218156099319458,6.033787965774536,3.857135057449341
150,1.3153791427612305,5.909823656082153,3.7542333602905273
150,1.3832263946533203,6.123632907867432,3.9803175926208496
150,1.452749490737915,6.121935844421387,3.828252077102661
150,1.295027256011963,5.990947246551514,3.7734177112579346
150,1.20585298538208,6.125816345214844,3.759568214416504
150,1.4949297904968262,6.0313780307769775,3.8609089851379395
150,1.4144117832183838,6.181653261184692,3.930316925048828
150,1.28922438621521,6.125328779220581,3.9683380126953125
150,1.3921208381652832,6.02283239364624,3.846858501434326
160,1.3938138484954834,6.6538755893707275,3.905714511871338
160,1.4645788669586182,6.259969472885132,3.8743948936462402
160,1.3391222953796387,6.770578861236572,3.8684630393981934
160,1.532959222793579,6.619497776031494,3.990072727203369
160,1.5843207836151123,6.763790845870972,3.884751796722412
160,1.4533653259277344,6.649999380111694,3.8082010746002197
160,1.4837591648101807,6.310307741165161,3.773430585861206
160,1.3312914371490479,6.442629098892212,3.85227632522583
160,1.5885131359100342,6.469762563705444,3.876715660095215
160,1.4021260738372803,6.586801290512085,3.913300037384033
170,1.629957914352417,6.880107164382935,3.7982401847839355
170,1.5267360210418701,6.879166841506958,3.8510525226593018
170,1.5872859954833984,6.951873064041138,3.8792364597320557
170,1.6068968772888184,6.775465965270996,3.8203630447387695
170,1.4830763339996338,6.784001350402832,3.7893683910369873
170,1.4831428527832031,6.8362956047058105,3.755283832550049
170,1.6273701190948486,6.60996413230896,3.8252735137939453
170,1.6043407917022705,6.782520055770874,3.8287737369537354
170,1.6491289138793945,6.809359312057495,3.788142681121826
170,1.4699769020080566,6.963820934295654,3.877481698989868
180,1.5673301219940186,7.556989908218384,3.8570151329040527
180,1.6050589084625244,7.239626169204712,3.827655792236328
180,1.6423709392547607,7.361308813095093,3.921553373336792
180,1.7542622089385986,7.499747037887573,3.840848684310913
180,1.5080606937408447,7.183005094528198,3.80818510055542
180,1.8093593120574951,7.224866628646851,3.8014798164367676
180,1.7419683933258057,7.200451374053955,3.8141610622406006
180,1.637892723083496,7.191675901412964,4.012104749679565
180,1.8074638843536377,7.434500455856323,3.912928819656372
180,1.7010116577148438,7.5702855587005615,3.9272193908691406
190,1.9607720375061035,7.695257902145386,3.8193182945251465
190,1.578683614730835,7.59376335144043,3.8384153842926025
190,1.7716333866119385,7.618109941482544,3.835451364517212
190,1.624866247177124,7.622333526611328,3.885902166366577
190,1.7483088970184326,7.668399333953857,3.82597279548645
190,1.6614022254943848,7.605077505111694,3.7065787315368652
190,1.8677284717559814,7.605715274810791,3.890289068222046
190,1.7565858364105225,7.653471946716309,3.85219669342041
190,1.7426598072052002,7.531334400177002,3.828549861907959
190,1.6237428188323975,7.57560133934021,3.777945041656494
200,1.8937222957611084,8.086791038513184,3.8437891006469727
200,1.6776771545410156,8.039498805999756,3.8653125762939453
200,1.9188435077667236,7.936923980712891,3.9012367725372314
200,1.7957658767700195,8.226609230041504,3.8761093616485596
200,1.8060591220855713,7.912613153457642,3.7629992961883545
200,1.876607894897461,7.965985536575317,3.9777908325195312
200,1.857651948928833,8.13560438156128,3.981710195541382
200,1.860072374343872,8.148749589920044,3.84359073638916
200,1.8742866516113281,7.9501097202301025,3.85430908203125
200,1.9368455410003662,7.936114549636841,3.7743654251098633
